Date,Close,Open,High,Low,Volume
2021-12-01,150.99342830602245,150.45378686576603,151.68005469347295,148.26478288698604,9257668
2021-12-02,149.99828886175573,148.3481900413956,151.788844492419,148.29142241191016,7273672
2021-12-03,151.8448529594842,150.8483415949573,154.62939925382605,149.55832919793926,6573945
2021-12-04,153.869876026047,153.71575946777833,156.65729458609337,151.43445587099433,5886202
2021-12-05,150.6293732612895,150.51227140280153,151.65508909560594,149.6038261355377,4906997
2021-12-06,150.90263462021014,150.234157982818,152.48566701887523,149.601551626249,7466751
2021-12-07,154.80176947439776,153.2319755201748,155.43667717010734,152.25635415117895,1785786
2021-12-08,153.44969785858012,152.03433598909828,156.43659118707677,152.35993180355268,3427667
2021-12-09,151.24625649594427,149.66902656659946,154.1896102195481,148.86445109558872,6311154
2021-12-10,153.53943829678033,152.50490018389712,155.4879650859027,150.716461329057,7557734
2021-12-11,151.79517640302583,150.91477840711485,154.20841858205824,149.9255452838218,1563889
2021-12-12,152.05667195849105,151.76176690507847,154.20197244234214,149.8317900961354,1277834
2021-12-13,153.73644823981007,153.08006273259144,155.5159228969285,151.32115630368668,6506933
2021-12-14,149.68847554114978,148.82043680880204,149.84851953211648,147.15335659445986,6585056
2021-12-15,150.32568153961103,150.1484806802518,151.68997456726902,149.14052152604063,5730654
2021-12-16,152.90924218299062,152.4680182775682,154.93360108949287,152.75545180546263,4894325
2021-12-17,152.26412530207426,151.0676747139468,154.2967201437253,151.05849648836406,6379105
2021-12-18,155.17177564888516,153.70044942040678,156.2911435041523,153.1505069595329,4244998
2021-12-19,152.9781038550567,150.9814088322708,155.8031798150308,151.62705269771433,4998585
2021-12-20,152.21764930764436,150.35142264495724,152.71972040435472,149.97075985506316,3816112
2021-12-21,158.21875048414122,156.93362008507083,159.71982882278792,157.14780319573524,7900725
2021-12-22,155.07804780253426,154.2355516959461,157.15069973218672,153.17381537922216,2732141
2021-12-23,155.90361710902107,154.6312623796046,157.9950245266965,155.34435769445915,9675237
2021-12-24,153.15470109575352,151.58339785959305,155.10061796605996,150.90659278581865,7905043
2021-12-25,155.14761099554408,154.9109386136973,155.97347563589966,153.51052308910502,7134896
2021-12-26,156.68681073071878,155.8670009513262,157.15543043677863,156.07461756507897,2634461
2021-12-27,154.38784782632627,152.70824325505504,156.2956688068064,153.51211430583285,3887569
2021-12-28,157.66225331634107,156.89458741247498,159.46015966475937,155.41642719059556,2746988
2021-12-29,155.92663004551136,154.78288550305697,156.46469807637908,154.4788263385268,5896986
2021-12-30,156.75747540954063,155.58193668781624,158.8728928462523,156.1093810883614,2020346
2021-12-31,156.34619058711215,155.97723808084487,157.7117065623131,153.44437701600125,2886522
2022-01-01,161.4585692478571,160.73409836455252,163.46185102266656,159.31319418840644,6523632
2022-01-02,157.92698114734685,157.25795856986298,160.4390823866573,155.05557664972747,4119331
2022-01-03,156.03395840565778,155.98156498859365,156.54314369138856,154.75264326957677,8301078
2022-01-04,159.9852078841395,159.9368243563568,160.04264248813,158.55990686206434,5003487
2022-01-05,156.08439581845406,154.4210017311025,158.4217035776414,153.390530169899,1834938
2022-01-06,159.12489978003737,158.57875816009175,160.9539920554952,157.54975175930122,1807400
2022-01-07,154.96394646177345,153.92778892929582,157.0628651706398,152.84210972605644,7505134
